timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
32,28,1972,2,1,100,1,21,2,8,0,2,2,8,0,0,0,0,2,2,30,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.2397,22.8000,0,6
32,33,1972,2,1,100,1,21,1,4,0,1,1,5,0,0,0,0,1,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0814,10.8000,0,3
32,38,1972,2,1,100,1,21,6,22,0,5,6,24,2,1,2,2,7,5,100,0,1,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0722,34.2000,0,18
33,3,1972,1,1,100,1,21,1,4,0,2,0,5,0,1,1,1,1,1,9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.2313,4.8000,0,3
33,10,1972,1,1,100,1,21,7,25,0,3,3,26,1,1,1,0,10,8,92,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2839,25.7000,0,21
33,28,1972,2,1,100,1,21,0,1,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0.1726,3.9000,0,2
33,33,1972,2,1,100,1,21,1,6,0,3,1,7,0,1,0,0,2,0,21,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0911,21.2000,0,4
33,38,1972,2,1,100,1,21,7,24,0,3,5,24,1,0,1,1,11,4,72,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2489,23.8000,0,21
34,3,1972,1,1,100,1,21,1,5,0,2,1,6,0,0,1,0,0,2,17,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.1453,17.8000,0,3
34,4,1972,1,1,100,1,21,1,3,0,0,0,4,0,1,0,0,1,2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1377,8.1000,0,3
34,10,1972,1,1,100,1,21,5,23,0,7,4,25,2,2,3,3,6,5,90,0,1,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1662,29.9000,0,15
34,12,1972,1,1,100,1,21,1,3,0,1,0,3,0,0,0,0,0,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0469,2.1000,0,3
34,22,1972,1,1,100,1,21,2,8,0,1,2,8,0,0,0,0,3,1,26,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.3373,29.6000,0,6
34,23,1972,1,1,100,1,21,1,3,0,0,2,3,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1070,4.3000,0,3
34,28,1972,2,1,100,1,21,1,3,0,0,2,3,0,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.2753,10.7000,0,3
34,33,1972,2,1,100,1,21,0,4,0,2,1,5,0,1,0,0,1,0,19,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,3,2,-0.3261,13.6000,0,2
34,38,1972,2,1,100,1,21,6,24,0,5,6,27,3,3,4,4,8,5,103,1,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1468,32.0000,0,19
34,48,1972,2,1,100,1,21,3,13,0,5,0,16,0,2,1,1,5,4,54,0,1,0,0,1,0,5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0250,46.5000,0,9
